attribute,level_key,level_label,id,focus_area,title,organization,summary,bullet_1,bullet_2
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_01,data reporting,Library Student Assistant,campus library circulation desk,"Held a student or campus role, but no directly relevant internship was listed.",Helped maintain records and answered routine student questions.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_02,client support,Admissions Ambassador,university admissions office,"Held a student or campus role, but no directly relevant internship was listed.",Supported campus visit logistics and responded to prospective student questions.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_03,marketing analytics,Peer Tutor,academic support center,"Held a student or campus role, but no directly relevant internship was listed.",Provided weekly tutoring sessions and tracked attendance.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_04,financial reporting,Residence Hall Assistant,student housing office,"Held a student or campus role, but no directly relevant internship was listed.",Coordinated resident check-ins and documented maintenance requests.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_05,supply chain coordination,Student Event Assistant,campus events office,"Held a student or campus role, but no directly relevant internship was listed.",Organized registration materials and supported event setup.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_06,research support,Bookstore Associate,campus bookstore,"Held a student or campus role, but no directly relevant internship was listed.",Handled point-of-sale transactions and restocked merchandise.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_07,people operations,Front Desk Assistant,student recreation center,"Held a student or campus role, but no directly relevant internship was listed.",Managed sign-ins and responded to member inquiries.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_08,sales support,Office Assistant,department administrative office,"Held a student or campus role, but no directly relevant internship was listed.",Scheduled appointments and maintained filing systems.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_09,customer success,Community Volunteer Coordinator,student service club,"Held a student or campus role, but no directly relevant internship was listed.",Organized volunteer sign-ups and tracked participation.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_10,project coordination,Orientation Leader,new student orientation program,"Held a student or campus role, but no directly relevant internship was listed.",Guided incoming students and handled logistics.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_11,healthcare administration,Teaching Assistant,introductory undergraduate course,"Held a student or campus role, but no directly relevant internship was listed.",Supported grading and held review sessions.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_12,nonprofit program support,Dining Services Team Member,campus dining hall,"Held a student or campus role, but no directly relevant internship was listed.",Handled customer service and shift coordination tasks.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_13,retail planning,Campus Technology Helper,student IT help desk,"Held a student or campus role, but no directly relevant internship was listed.",Resolved basic account and device issues.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_14,insurance support,Research Lab Assistant,faculty lab office,"Held a student or campus role, but no directly relevant internship was listed.",Organized study materials and maintained participant schedules.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_15,education services,Student Call Center Representative,alumni relations office,"Held a student or campus role, but no directly relevant internship was listed.",Updated contact records and logged outreach results.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_16,real estate support,Fitness Desk Assistant,university fitness center,"Held a student or campus role, but no directly relevant internship was listed.",Processed check-ins and maintained equipment logs.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_17,hospitality operations,Museum Visitor Assistant,local museum front desk,"Held a student or campus role, but no directly relevant internship was listed.",Provided visitor support and tracked daily attendance.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_18,product support,Community Center Assistant,municipal community center,"Held a student or campus role, but no directly relevant internship was listed.",Coordinated room bookings and responded to inquiries.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_19,communications support,School Program Volunteer,after-school enrichment program,"Held a student or campus role, but no directly relevant internship was listed.",Supervised activities and recorded attendance.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_20,procurement support,Retail Sales Associate,local retail store,"Held a student or campus role, but no directly relevant internship was listed.",Assisted customers and maintained inventory displays.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_01,data reporting,Data Operations Intern,North Harbor Insights,Completed a relevant internship focused on data reporting at a smaller firm.,Supported day-to-day work related to data reporting and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_02,client support,Operations Intern,Blue Ridge Advisory,Completed a relevant internship focused on client support at a smaller firm.,Supported day-to-day work related to client support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_03,marketing analytics,Marketing Intern,Cedar Point Analytics,Completed a relevant internship focused on marketing analytics at a smaller firm.,Supported day-to-day work related to marketing analytics and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_04,financial reporting,Finance Intern,Maple Street Consulting,Completed a relevant internship focused on financial reporting at a smaller firm.,Supported day-to-day work related to financial reporting and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_05,supply chain coordination,Operations Intern,Brightwell Strategy Group,Completed a relevant internship focused on supply chain coordination at a smaller firm.,Supported day-to-day work related to supply chain coordination and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_06,research support,Research Assistant Intern,Pinecrest Research,Completed a relevant internship focused on research support at a smaller firm.,Supported day-to-day work related to research support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_07,people operations,HR Intern,Silver Oak Solutions,Completed a relevant internship focused on people operations at a smaller firm.,Supported day-to-day work related to people operations and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_08,sales support,Sales Operations Intern,Redwood Business Services,Completed a relevant internship focused on sales support at a smaller firm.,Supported day-to-day work related to sales support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_09,customer success,Customer Success Intern,HarborLine Operations,Completed a relevant internship focused on customer success at a smaller firm.,Supported day-to-day work related to customer success and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_10,project coordination,Project Support Intern,Summit Trail Partners,Completed a relevant internship focused on project coordination at a smaller firm.,Supported day-to-day work related to project coordination and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_11,healthcare administration,Administrative Intern,Westfield Data Services,Completed a relevant internship focused on healthcare administration at a smaller firm.,Supported day-to-day work related to healthcare administration and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_12,nonprofit program support,Program Intern,Elm Street Advisory,Completed a relevant internship focused on nonprofit program support at a smaller firm.,Supported day-to-day work related to nonprofit program support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_13,retail planning,Merchandising Intern,Clearview Market Research,Completed a relevant internship focused on retail planning at a smaller firm.,Supported day-to-day work related to retail planning and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_14,insurance support,Claims Intern,Granite Point Consulting,Completed a relevant internship focused on insurance support at a smaller firm.,Supported day-to-day work related to insurance support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_15,education services,Program Assistant Intern,Northgate Planning,Completed a relevant internship focused on education services at a smaller firm.,Supported day-to-day work related to education services and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_16,real estate support,Leasing Intern,Beacon Hill Analytics,Completed a relevant internship focused on real estate support at a smaller firm.,Supported day-to-day work related to real estate support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_17,hospitality operations,Hospitality Intern,Lakefront Strategy,Completed a relevant internship focused on hospitality operations at a smaller firm.,Supported day-to-day work related to hospitality operations and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_18,product support,Product Operations Intern,Oakview Operations,Completed a relevant internship focused on product support at a smaller firm.,Supported day-to-day work related to product support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_19,communications support,Communications Intern,Cornerstone Advisory,Completed a relevant internship focused on communications support at a smaller firm.,Supported day-to-day work related to communications support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_20,procurement support,Procurement Intern,Riverbend Insights,Completed a relevant internship focused on procurement support at a smaller firm.,Supported day-to-day work related to procurement support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_01,data reporting,Business Analyst Intern,Deloitte,Completed a relevant internship focused on data reporting at a well-known firm.,Contributed to projects related to data reporting and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_02,client support,Client Strategy Intern,Amazon,Completed a relevant internship focused on client support at a well-known firm.,Contributed to projects related to client support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_03,marketing analytics,Marketing Analytics Intern,JPMorgan Chase,Completed a relevant internship focused on marketing analytics at a well-known firm.,Contributed to projects related to marketing analytics and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_04,financial reporting,Financial Planning Intern,Accenture,Completed a relevant internship focused on financial reporting at a well-known firm.,Contributed to projects related to financial reporting and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_05,supply chain coordination,Supply Chain Analyst Intern,Microsoft,Completed a relevant internship focused on supply chain coordination at a well-known firm.,Contributed to projects related to supply chain coordination and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_06,research support,Market Research Intern,PwC,Completed a relevant internship focused on research support at a well-known firm.,Contributed to projects related to research support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_07,people operations,People Analytics Intern,Bank of America,Completed a relevant internship focused on people operations at a well-known firm.,Contributed to projects related to people operations and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_08,sales support,Commercial Strategy Intern,Target,Completed a relevant internship focused on sales support at a well-known firm.,Contributed to projects related to sales support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_09,customer success,Customer Insights Intern,UnitedHealth Group,Completed a relevant internship focused on customer success at a well-known firm.,Contributed to projects related to customer success and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_10,project coordination,Project Management Intern,IBM,Completed a relevant internship focused on project coordination at a well-known firm.,Contributed to projects related to project coordination and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_11,healthcare administration,Healthcare Operations Intern,Citi,Completed a relevant internship focused on healthcare administration at a well-known firm.,Contributed to projects related to healthcare administration and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_12,nonprofit program support,Program Analytics Intern,PepsiCo,Completed a relevant internship focused on nonprofit program support at a well-known firm.,Contributed to projects related to nonprofit program support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_13,retail planning,Retail Strategy Intern,Capital One,Completed a relevant internship focused on retail planning at a well-known firm.,Contributed to projects related to retail planning and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_14,insurance support,Business Process Intern,KPMG,Completed a relevant internship focused on insurance support at a well-known firm.,Contributed to projects related to insurance support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_15,education services,Education Operations Intern,Adobe,Completed a relevant internship focused on education services at a well-known firm.,Contributed to projects related to education services and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_16,real estate support,Real Estate Analyst Intern,Pfizer,Completed a relevant internship focused on real estate support at a well-known firm.,Contributed to projects related to real estate support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_17,hospitality operations,Revenue Operations Intern,American Express,Completed a relevant internship focused on hospitality operations at a well-known firm.,Contributed to projects related to hospitality operations and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_18,product support,Product Analyst Intern,Nike,Completed a relevant internship focused on product support at a well-known firm.,Contributed to projects related to product support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_19,communications support,Corporate Communications Intern,Comcast,Completed a relevant internship focused on communications support at a well-known firm.,Contributed to projects related to communications support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_20,procurement support,Procurement Analyst Intern,Visa,Completed a relevant internship focused on procurement support at a well-known firm.,Contributed to projects related to procurement support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule."
